ID,Sport,Sex,Age,Body mass,10 m,20 m,30 m,40 m,F0,V0,Pmax,FV Slope,RF max,DRF
,,,(y),(kg),(s),(s),(s),(s),(N/kg),(m/s),(W/kg),(N/s/m/kg),(%),(%)
134,Beach/volleyball,M,19.2369134322679,88,1.98,3.28,4.44,5.66,9.03252147573815,8.73926882627717,19.7344083388994,-1.03355574193796,47.6721130957019%,-9.59295521743517%
135,Beach/volleyball,M,25.6313477612887,88,1.97,3.17,4.32,5.59,9.04038559494419,9.22491273694102,20.8491920554147,-0.979996868560297,48.7106459097373%,-9.03643996239973%
136,Beach/volleyball,M,28.0684931506849,88,2.06,3.38,4.63,5.86,8.67276484454423,8.2792263326504,17.9509457694588,-1.0475332471999,45.9305635859854%,-9.80217204403247%
137,Beach/volleyball,M,19,89.4,2.05,3.38,4.59,5.8,8.4890901785243,8.44834966581705,17.9297005432067,-1.00482230427466,45.9431714635698%,-9.39294994063587%
138,Beach/volleyball,M,22.8383561643836,90,2,3.264,4.447,5.629,8.9214368625835,8.78201542195952,19.5870490283116,-1.01587579091188,47.549035375389%,-9.43139052111303%
139,Beach/volleyball,M,30.4657534246575,90.1,2.008,3.288,4.444,5.59,8.58762923157422,8.90968767076799,19.1282735714209,-0.963853004606388,47.1224261654458%,-8.95227078275065%
140,Beach/volleyball,M,20.8040397640792,91,1.98,3.25,4.44,5.61,9.28388268133312,8.67352226109239,20.1309907764782,-1.07037053712062,47.994794090715%,-9.93210263605103%
141,Beach/volleyball,M,20.1191133625063,92,2.09,3.42,4.75,6.09,8.92721239660973,7.88003595473396,17.5866886652078,-1.13288980505814,45.4101636419561%,-10.646932208497%
142,Beach/volleyball,M,23.7163586377473,94,2.08,3.45,4.64,5.86,7.97464335804539,8.46143274877498,16.8692271173915,-0.942469625986206,44.8395628420016%,-8.83994209489321%
143,Beach/volleyball,M,26,94.5,2.08,3.44,4.68,5.91,8.35029128184776,8.21192258697816,17.1429863963131,-1.01684973200904,45.1311466435043%,-9.54536103425047%
144,Beach/volleyball,M,36.3315068493151,97.6,1.98,3.21,4.37,5.58,8.99744697145285,9.02708506461001,20.3051797939056,-0.996716759292171,48.2243193850686%,-9.22541103005265%
145,Beach/volleyball,M,20.5930873287671,99,1.98,3.23,4.45,5.61,9.55511257209522,8.56507880285259,20.4600730375308,-1.11558956922999,48.2128754698633%,-10.3591967365121%
146,Beach/volleyball,M,23.595807775241,100,2.03,3.27,4.47,5.64,8.64341415117102,8.81785841858215,19.0541005595489,-0.980216934868956,47.0589675422444%,-9.11923536933549%
147,Bobsleigh,M,27.2246575342466,88.3,1.882,3.064,4.088,5.13,9.18073822950458,10.1259471663983,23.2409175651241,-0.906654763118827,50.6815663555484%,-8.25256847624695%
148,Bobsleigh,M,26.5013698630137,88.5,1.903,3.043,4.149,5.185,9.63588800461024,9.68359123885127,23.3275001649989,-0.995073807530244,50.8065712542482%,-9.08308849713783%
149,Bobsleigh,M,27.9178082191781,88.7,1.908,3.075,4.151,5.191,9.27344314520025,9.81453310294647,22.753628681715,-0.944868497352791,50.3274020130526%,-8.63086627098378%
150,Bobsleigh,M,26.4027397260274,90.3,1.977,3.206,4.308,5.38,8.53588827505906,9.47503398627802,20.2194578773142,-0.900882074662839,48.0801507387635%,-8.31097448134077%
151,Bobsleigh,M,27.1068493150685,91.7,1.895,3.058,4.096,5.092,9.11154348516656,10.1404956934465,23.0988918679956,-0.89853038358421,50.5551450463709%,-8.18458699717084%
152,Bobsleigh,M,29.6547945205479,93,1.914,3.104,4.2,5.295,9.38156223858754,9.53682534518074,22.3675801335881,-0.983719623567222,50.0225660288651%,-9.01705359622335%
153,Bobsleigh,M,23.6383561643836,96.9,1.961,3.168,4.229,5.306,8.40211067997464,9.89091332584344,20.7761371224432,-0.849477738119615,48.4700443771237%,-7.80972970237312%
